person_id,page_number,occupation,entry_type,occupation_norm_proposed,age,sex,family_status_norm,comments
P000366,49,,blank,,2,Женский,Незаконнорожденная дочь,192
P000367,49,,blank,,40,Мужской,Прислуга,
P000369,49,,blank,,31,Женский,Жена,
P000374,49,,blank,,36,Женский,Сожительница,
P000377,50,,blank,,23,Женский,Жена,
P000382,50,,blank,,35,Женский,Сожительница,
P000383,50,,blank,,3,Мужской,Незаконнорожденный сын,190
P000385,50,,blank,,25,Женский,Сожительница,
P000386,50,,blank,,6,Женский,Незаконнорожденная дочь,189
P000387,50,,blank,,5,Мужской,Незаконнорожденный сын,188
P000389,50,,blank,,35,Женский,Хозяйка,
P000390,50,,blank,,2,Женский,Незаконнорожденная дочь,186
P000391,50,,blank,,0,Женский,Незаконнорожденная дочь,3 недели; 187
P000394,51,,blank,,32,Женский,Сожительница,
P000395,51,,blank,,10,Женский,Незаконнорожденная дочь,185
P000396,51,,blank,,5,Женский,Незаконнорожденная дочь,184
P000397,51,,blank,,3,Женский,Незаконнорожденная дочь,183
P000398,51,,blank,,0,Мужской,Незаконнорожденный сын,182
P000404,51,,blank,,53,Женский,Мать,
P000406,51,,blank,,31,Женский,Сожительница,
P000407,51,,blank,,6,Мужской,Незаконнорожденный сын,181
P000408,51,,blank,,4,Женский,Незаконнорожденная дочь,180
P000410,51,,blank,,35,Женский,Жена,
P000412,52,,blank,,35,Женский,Сожительница,В Николаевск по билету
P000413,52,,blank,,56,Мужской,Жилец,
P000418,52,,blank,,30,Женский,Жена,
P000419,52,,blank,,0,Женский,Дочь,
P000420,52,,blank,,45,Женский,Хозяйка,
P000422,52,,blank,,44,Женский,Сожительница,
P000424,52,,blank,,37,Женский,Сожительница,
P000425,52,,blank,,67,Мужской,Жилец,
P000427,52,,blank,,36,Мужской,Хозяин,
P000430,53,,blank,,50,Женский,Жена,
P000433,53,,blank,,30,Женский,Сожительница,
P000436,53,,blank,,39,Женский,Жена,
P000438,53,,blank,,37,Женский,Жена,
P000440,53,,blank,,32,Женский,Сожительница,
P000444,54,,blank,,35,Женский,Жена,
P000448,54,,blank,,,Мужской,Хозяин,
P000449,54,,blank,,,Женский,Жена,
P000450,54,,blank,,10,Мужской,Сын,
P000451,54,,blank,,8,Женский,Дочь,
P000452,54,,blank,,6,Женский,Дочь,
P000453,54,,blank,,2,Женский,Дочь,
P000455,54,,blank,,29,Женский,Сожительница,
P000457,54,,blank,,40,Женский,Жена,
P000459,54,,blank,,29,Мужской,Жилец,
P000460,54,,blank,,25,Женский,Жена,
P000461,54,,blank,,1,Женский,Дочь,
P000463,55,,blank,,38,Женский,Жена,
P000464,55,,blank,,8,Женский,Дочь,
P000465,55,,blank,,5,Мужской,Сын,
P000466,55,,blank,,2,Мужской,Сын,
P000470,55,,blank,,30,Женский,Сожительница,
P000471,55,,blank,,2,Мужской,Незаконнорожденный сын,179
P000474,55,,blank,,55,Женский,Жена,
P000475,55,,blank,,4,Мужской,Сын,
P000480,56,,blank,,30,Женский,Жена,
P000484,56,,blank,,49,Женский,Сожительница,
P000486,56,,blank,,25,Женский,Жилица,
P000488,56,,blank,,35,Женский,Сожительница,
P000489,56,,blank,,9,Женский,Незаконнорожденная дочь,178
P000490,56,,blank,,4,Женский,Незаконнорожденная дочь,177
P000491,56,,blank,,2,Мужской,Незаконнорожденный сын,176
P000492,56,,blank,,32,Женский,Жилица,
P000495,57,,blank,,40,Женский,Жена,
P000496,57,,blank,,0,Мужской,Сын,
P000499,57,,blank,,42,Женский,Жена,
P000500,57,,blank,,17,Мужской,Сын,
