person_id,old_source_position_id,new_source_position_id,changed_fields,changed_field_count
P000085,1-01-014-0085,1-01-014-0085,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000086,1-01-014-0086,1-01-014-0086,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000087,1-01-15_(И._С._Карауловского)-0087,1-01-015-0087,family_status_norm; household_details; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,10
P000088,1-01-015-0088,1-01-015-0088,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000089,1-01-015-0089,1-01-015-0089,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000090,1-01-015-0090,1-01-015-0090,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000091,1-01-016-0091,1-01-016-0091,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000092,1-01-016-0092,1-01-016-0092,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000093,1-01-016-0093,1-01-016-0093,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000094,1-01-016-0094,1-01-016-0094,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000095,1-01-016-0095,1-01-016-0095,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000096,1-02-000-0001,1-02-000-0001,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000097,1-02-000-0002,1-02-000-0002,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000098,1-02-000-0003,1-02-000-0003,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000099,1-02-Кабельный_дом-0004,1-02-000-0004,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000100,1-02-Кабельный_дом-0005,1-02-000-0005,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000101,1-02-Кабельный_дом-0006,1-02-000-0006,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000102,1-02-Дом_Пономарева-0007,1-02-000-0007,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000103,1-02-Дом_Пономарева-0008,1-02-000-0008,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000104,1-02-Дом_Пономарева-0009,1-02-000-0009,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000105,1-02-Дом_Пономарева-0010,1-02-000-0010,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000106,1-02-Дом_Пономарева_3-я_Касьян-0011,1-02-000-0011,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000107,1-02-Федора_Фоминых-0012,1-02-000-0012,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000108,1-02-Федора_Фоминых-0013,1-02-000-0013,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000109,1-02-Федора_Фоминых-0014,1-02-000-0014,family_status_norm; household_details; household_number; household_type; legal_status_norm; sex; sex_evidence; source_position_id,8
P000110,1-02-Федора_Фоминых_(под_квартирой)-0015,1-02-000-0015,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000111,1-02-Казарма_Б-0016,1-02-000-0016,household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,8
P000112,1-02-Казарма_Дом-0017,1-02-000-0017,household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,8
P000113,1-02-Казарма_В-0018,1-02-000-0018,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000114,1-02-Казарма-0019,1-02-000-0019,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000115,1-02-Казарма_В-0020,1-02-000-0020,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000116,1-02-Казарма-0021,1-02-000-0021,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000117,1-02-Казарма_Г-0022,1-02-000-0022,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000118,1-02-Казарма-0023,1-02-000-0023,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000119,1-02-Казарма6-0024,1-02-000-0024,family_status_norm; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,8
P000120,1-02-Казарма8-0025,1-02-000-0025,family_status_norm; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,8
P000121,1-02-Казарма_священника-0026,1-02-000-0026,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000122,1-02-Казарма_священника-0027,1-02-000-0027,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000123,1-02-Казарма-0028,1-02-000-0028,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000124,1-02-Мечеть-0029,1-02-000-0029,household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,8
P000125,1-02-Казарма1-0030,1-02-000-0030,household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,7
P000126,1-02-Кирпичный_завод-0031,1-02-000-0031,household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,8
P000127,1-02-Федора_Шелудченко-0032,1-02-000-0032,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000128,1-02-Смольная_яма-0033,1-02-000-0033,household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,8
P000129,1-02-Катерная_мастерская-0034,1-02-000-0034,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000130,1-02-Катерная_мастерская-0035,1-02-000-0035,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000131,1-02-Катерная_мастерская-0036,1-02-000-0036,household_details; household_number; household_type; illness_norm; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000132,1-02-Дом_бывшей_солеварни-0037,1-02-000-0037,family_status_norm; household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,9
P000133,1-02-Дом_бывшей_солеварни-0038,1-02-000-0038,family_status_norm; household_details; household_number; household_type; illness_norm; legal_status_norm; literacy; sex; sex_evidence; source_position_id,10
