person_id,source_position_id,page_number,field,before,after
P002700,1-18-023-0090,192,comments,9 месяцев,
P002703,1-18-024-0093,192,age_months,,8
P002703,1-18-024-0093,192,comments,8 месяцев,
P002723,1-18-030-0113,194,age_months,,5
P002723,1-18-030-0113,194,comments,5 месяцев; 368,368
P002728,1-18-031-0118,194,age_months,,15
P002728,1-18-031-0118,194,comments,1 год 3 месяца,
P002734,1-18-032-0124,194,age_months,,10
P002734,1-18-032-0124,194,comments,10 месяцев; 369,369
P002744,1-18-036-0134,195,age_months,,7
P002744,1-18-036-0134,195,comments,7 месяцев,
P002771,1-18-000-0161,197,age_months,,4
P002771,1-18-000-0161,197,comments,4 месяца,
P002781,1-18-000-0171,197,age_months,,22
P002781,1-18-000-0171,197,comments,1 год 10 месяцев,
P002805,1-18-000-0195,199,age_months,,7
P002805,1-18-000-0195,199,comments,7 месяцев,
P002810,1-18-000-0200,199,age_months,,6
P002810,1-18-000-0200,199,comments,6 месяцев,
P002820,1-18-000-0210,200,age_months,,18
P002820,1-18-000-0210,200,comments,1 год 6 месяцев,
P002839,1-18-000-0229,201,age_months,,6
P002839,1-18-000-0229,201,comments,6 месяцев,
P002845,1-18-000-0235,201,age_months,,22
P002845,1-18-000-0235,201,comments,1 год 10 месяцев,
P002877,1-18-000-0267,203,age_months,,1
P002877,1-18-000-0267,203,comments,1 месяц,
P002954,2-19-027-0070,227,age_months,,21
P002954,2-19-027-0070,227,comments,1 год 9 месяцев; 73,73
P002974,2-19-036-0090,228,age_months,,14
P002974,2-19-036-0090,228,comments,1 год 2 месяца; 93 463,93 463
P003019,2-19-056-0135,231,age_months,,0
P003035,2-19-063-0151,231,age_months,,15
P003035,2-19-063-0151,231,comments,1 год 3 месяца; 154 469,154 469
P003112,2-20-024-0053,236,age_months,,19
P003112,2-20-024-0053,236,comments,1 год 7 месяцев; 54 454,54 454
P003198,2-21-032-0045,241,age_months,,11
P003198,2-21-032-0045,241,comments,11 месяцев; 531,531
P003215,2-21-040-0062,242,age_months,,8
P003215,2-21-040-0062,242,comments,8 месяцев,
P003222,2-21-042-0069,242,age_months,,10
P003222,2-21-042-0069,242,comments,10 месяцев,
P003236,2-21-047-0083,243,age_months,,10
P003236,2-21-047-0083,243,comments,10 месяцев,
P003240,2-21-049-0087,243,age_months,,8
P003240,2-21-049-0087,243,comments,8 месяцев,
P003260,2-21-060-0107,244,age_months,,10
P003260,2-21-060-0107,244,comments,10 месяцев,
P003263,2-21-062-0110,244,age_months,,10
P003263,2-21-062-0110,244,comments,10 месяцев,
P003275,2-21-082-0122,245,age_months,,17
P003275,2-21-082-0122,245,comments,1 год 5 месяцев,
P003281,2-21-083-0128,246,age_months,,21
P003281,2-21-083-0128,246,comments,1 год 9 месяцев,
P003288,2-21-084-0135,246,age_months,,1
P003288,2-21-084-0135,246,comments,1 месяц,
P003333,2-21-101-0180,249,age_months,,18
P003333,2-21-101-0180,249,comments,1 год 6 месяцев,
P003334,2-21-101-0181,249,age_months,,5
P003334,2-21-101-0181,249,comments,5 месяцев,
P003361,2-21-113-0208,251,age_months,,33
P003361,2-21-113-0208,251,comments,2 года 9 месяцев,
P003380,2-21-120-0227,252,age_months,,0
P003414,2-21-131-0261,253,age_months,,17
P003414,2-21-131-0261,253,comments,1 год 5 месяцев,
P003434,2-21-137-0281,254,age_months,,10
P003434,2-21-137-0281,254,comments,10 месяцев,
P003439,2-21-141-0286,255,age_months,,1
P003439,2-21-141-0286,255,comments,1 месяц,
P003440,2-21-141-0287,255,age_months,,1
P003440,2-21-141-0287,255,comments,1 месяц; близнец,близнец
P003463,2-21-155-0310,256,age_months,,9
P003463,2-21-155-0310,256,comments,9 месяцев,
P003466,2-21-156-0313,256,age_months,,8
P003466,2-21-156-0313,256,comments,8 месяцев,
P003476,2-21-165-0323,257,age_months,,10
P003476,2-21-165-0323,257,comments,10 месяцев,
P003490,2-21-171-0337,257,age_months,,5
P003490,2-21-171-0337,257,comments,5 месяцев; 511,511
P003502,2-21-177-0349,258,age_months,,9
P003502,2-21-177-0349,258,comments,9 месяцев,
P003514,2-21-181-0361,258,age_months,,13
P003514,2-21-181-0361,258,comments,1 год 1 месяц,
P003549,2-21-197-0396,260,age_months,,9
P003549,2-21-197-0396,260,comments,9 месяцев,
P003610,2-21-226-0457,263,age_months,,4
P003610,2-21-226-0457,263,comments,4 месяца,
P003619,2-21-230-0466,263,age_months,,8
P003619,2-21-230-0466,263,comments,8 месяцев,
P003622,2-21-231-0469,264,age_months,,9
P003622,2-21-231-0469,264,comments,9 месяцев,
P003653,2-21-250-0500,265,age_months,,23
P003653,2-21-250-0500,265,comments,1 год 11 месяцев,
P003663,2-21-254-0510,266,age_months,,19
P003663,2-21-254-0510,266,comments,1 год 7 месяцев,
P003673,2-21-260-0520,267,age_months,,15
P003673,2-21-260-0520,267,comments,1 год 3 месяца,
P003676,2-21-261-0523,267,age_months,,13
P003676,2-21-261-0523,267,comments,1 год 1 месяц,
P003679,2-21-265-0526,267,age_months,,31
P003679,2-21-265-0526,267,comments,2 года 7 месяцев,
P003680,2-21-265-0527,267,age_months,,13
P003680,2-21-265-0527,267,comments,1 год 1 месяц; 506,506
P003689,2-21-268-0536,268,age_months,,16
P003689,2-21-268-0536,268,comments,1 год 4 месяца,
P003692,2-21-269-0539,268,age_months,,15
P003692,2-21-269-0539,268,comments,1 год 3 месяца,
P003696,2-21-270-0543,268,age_months,,15
P003696,2-21-270-0543,268,comments,1 год 3 месяца,
P003719,2-21-278-0566,269,age_months,,9
P003719,2-21-278-0566,269,comments,9 месяцев,
P003722,2-21-279-0569,269,age_months,,2
P003722,2-21-279-0569,269,comments,2 месяца,
P003744,2-21-288-0591,270,age_months,,9
P003744,2-21-288-0591,270,comments,9 месяцев,
P003753,2-21-291-0600,271,age_months,,15
P003753,2-21-291-0600,271,comments,1 год 3 месяца,
P003764,2-21-297-0611,271,age_months,,7
P003764,2-21-297-0611,271,comments,7 месяцев,
P003768,2-21-298-0615,272,age_months,,13
P003768,2-21-298-0615,272,comments,1 год 1 месяц,
P003771,2-21-299-0618,272,age_months,,13
P003771,2-21-299-0618,272,comments,1 год 1 месяц,
P003777,2-21-301-0624,272,age_months,,13
P003777,2-21-301-0624,272,comments,1 год 1 месяц,
P003783,2-21-304-0630,272,age_months,,11
P003783,2-21-304-0630,272,comments,11 месяцев,
P003977,2-23-003-0009,282,age_months,,4
P003977,2-23-003-0009,282,comments,4 месяца,
P004041,2-24-001-0005,286,age_months,,18
P004041,2-24-001-0005,286,comments,1 год 6 месяцев; 6,6
P004064,2-24-007-0028,287,age_months,,0
P004080,2-24-011-0044,288,age_months,,5
P004080,2-24-011-0044,288,comments,5 месяцев; 2,2
P004095,2-24-015-0059,289,age_months,,18
P004095,2-24-015-0059,289,comments,1 год 6 месяцев; 68,68
P004099,2-24-016-0063,289,age_months,,0
P004108,2-24-018-0072,290,age_months,,20
P004108,2-24-018-0072,290,comments,1 год 8 месяцев; 81,81
P004118,2-24-020-0082,290,age_months,,6
P004118,2-24-020-0082,290,comments,6 месяцев; 92,92
P004135,2-24-024-0099,291,age_months,,19
P004135,2-24-024-0099,291,comments,1 год 7 месяцев; 3,3
P004178,2-24-034-0142,294,age_months,,10
P004178,2-24-034-0142,294,comments,10 месяцев,
P004202,2-24-039-0166,295,age_months,,11
P004202,2-24-039-0166,295,comments,11 месяцев; 181,181
P004223,2-24-044-0187,296,age_months,,19
P004223,2-24-044-0187,296,comments,1 год 7 месяцев; 204,204
P004276,2-24-059-0240,299,age_months,,3
P004276,2-24-059-0240,299,comments,3 месяца; 6,6
P004299,2-24-063-0263,301,age_months,,19
P004299,2-24-063-0263,301,comments,1 год 7 месяцев; 280,280
P004346,2-24-071-0310,303,age_months,,5
P004346,2-24-071-0310,303,comments,5 месяцев; 329,329
P004355,2-24-073-0319,304,age_months,,17
P004355,2-24-073-0319,304,comments,1 год 5 месяцев; 338,338
P004394,2-24-081-0358,306,age_months,,5
P004394,2-24-081-0358,306,comments,5 месяцев; 379,379
P004398,2-24-082-0362,306,age_months,,9
P004398,2-24-082-0362,306,comments,9 месяцев; 387,387
P004406,2-24-083-0370,307,age_months,,16
P004406,2-24-083-0370,307,comments,1 год 4 месяца,
P004423,2-24-087-0387,308,age_months,,8
P004423,2-24-087-0387,308,comments,8 месяцев; 413,413
P004436,2-24-089-0400,309,age_months,,21
P004436,2-24-089-0400,309,comments,1 год 9 месяцев; 425 233.1,425 233.1
P004444,2-24-091-0408,309,age_months,,18
P004444,2-24-091-0408,309,comments,1 год 6 месяцев; 434,434
P004459,2-24-096-0423,310,age_months,,15
P004459,2-24-096-0423,310,comments,1 год 3 месяца; 450 237,450 237
P004732,2-24-199-0696,324,age_months,,6
P004732,2-24-199-0696,324,comments,6 месяцев,
P004947,2-24-254-0911,336,age_months,,11
P004947,2-24-254-0911,336,comments,11 месяцев; 279; Незаконнорожденная дочь Марии,279; Незаконнорожденная дочь Марии
P005186,2-24-326-1150,350,age_months,,3
P005186,2-24-326-1150,350,comments,3 месяца; 1248,1248
P005211,2-24-331-1175,351,age_months,,19
P005211,2-24-331-1175,351,comments,1 год 7 месяцев; 1279 298,1279 298
P005422,2-25-061-0120,363,age_months,,8
P005422,2-25-061-0120,363,comments,8 месяцев; 373,373
P005428,2-25-063-0126,363,age_months,,20
P005428,2-25-063-0126,363,comments,1 год 8 месяцев,
P005439,2-25-074-0137,364,age_months,,19
P005439,2-25-074-0137,364,comments,1 год 7 месяцев; 7,7
P005440,2-25-074-0138,364,age_months,,0
P005442,2-25-077-0140,364,age_months,,18
P005442,2-25-077-0140,364,comments,1 год 6 месяцев,
P005443,2-25-077-0141,364,age_months,,6
P005443,2-25-077-0141,364,comments,6 месяцев,
P005445,2-25-087-0143,364,age_months,,7
P005445,2-25-087-0143,364,comments,7 месяцев,
P005446,2-25-090-0144,364,age_months,,17
P005446,2-25-090-0144,364,comments,1 год 5 месяцев,
P005487,2-25-125-0185,367,age_months,,7
P005487,2-25-125-0185,367,comments,7 месяцев,
P005532,2-25-151-0230,369,age_months,,0
P005591,2-26-002-0006,372,age_months,,8
P005591,2-26-002-0006,372,comments,8 месяцев; 7 448,7 448
P005605,2-26-005-0020,373,age_months,,18
P005605,2-26-005-0020,373,comments,1 год 6 месяцев; 21 445.4,21 445.4
P005641,2-26-016-0056,375,age_months,,7
P005641,2-26-016-0056,375,comments,7 месяцев; 58 439,58 439
P005651,2-26-019-0066,376,age_months,,18
P005651,2-26-019-0066,376,comments,1 год 6 месяцев; 71,71
P005674,2-26-027-0089,377,age_months,,0
P005689,2-26-031-0104,378,age_months,,9
P005689,2-26-031-0104,378,comments,9 месяцев; 116,116
P005699,2-26-033-0114,379,age_months,,17
P005699,2-26-033-0114,379,comments,1 год 5 месяцев; 126,126
P005711,2-26-036-0126,379,age_months,,14
P005711,2-26-036-0126,379,comments,1 год 2 месяца; 4,4
P005751,2-26-049-0166,382,age_months,,23
P005751,2-26-049-0166,382,comments,1 год 11 месяцев; 177 479,177 479
P005800,2-27-020-0038,385,age_months,,5
