person_id,source_position_id,page_number,comments_before,comments_after,reason
P004692,2-24-186-0656,322,698,,pure_numeric_comment
P004693,2-24-187-0657,322,699,,pure_numeric_comment
P004694,2-24-187-0658,322,700,,pure_numeric_comment
P004695,2-24-187-0659,323,701,,pure_numeric_comment
P004696,2-24-188-0660,323,702,,pure_numeric_comment
P004697,2-24-188-0661,323,703,,pure_numeric_comment
P004698,2-24-189-0662,323,704,,pure_numeric_comment
P004699,2-24-189-0663,323,705,,pure_numeric_comment
P004700,2-24-190-0664,323,706,,pure_numeric_comment
P004701,2-24-190-0665,323,707,,pure_numeric_comment
P004705,2-24-191-0669,323,711,,pure_numeric_comment
P004707,2-24-192-0671,323,713,,pure_numeric_comment
P004708,2-24-192-0672,323,714,,pure_numeric_comment
P004709,2-24-193-0673,323,715,,pure_numeric_comment
P004710,2-24-194-0674,323,717,,pure_numeric_comment
P004711,2-24-194-0675,323,718,,pure_numeric_comment
P004712,2-24-194-0676,323,719,,pure_numeric_comment
P004714,2-24-194-0678,323,722,,pure_numeric_comment
P004715,2-24-194-0679,324,723,,pure_numeric_comment
P004716,2-24-194-0680,324,725,,pure_numeric_comment
P004717,2-24-194-0681,324,724,,pure_numeric_comment
P004718,2-24-194-0682,324,726,,pure_numeric_comment
P004719,2-24-195-0683,324,727,,pure_numeric_comment
P004720,2-24-196-0684,324,728,,pure_numeric_comment
P004721,2-24-196-0685,324,729,,pure_numeric_comment
P004722,2-24-197-0686,324,730,,pure_numeric_comment
P004723,2-24-197-0687,324,731,,pure_numeric_comment
P004724,2-24-197-0688,324,732,,pure_numeric_comment
P004727,2-24-198-0691,324,735,,pure_numeric_comment
P004728,2-24-198-0692,324,736,,pure_numeric_comment
P004729,2-24-199-0693,324,737,,pure_numeric_comment
P004730,2-24-199-0694,324,738,,pure_numeric_comment
P004731,2-24-199-0695,324,742,,pure_numeric_comment
P004733,2-24-200-0697,324,742,,pure_numeric_comment
P004734,2-24-200-0698,324,745,,pure_numeric_comment
P004737,2-24-200-0701,325,748,,pure_numeric_comment
P004740,2-24-201-0704,325,753,,pure_numeric_comment
P004741,2-24-201-0705,325,754,,pure_numeric_comment
P004742,2-24-201-0706,325,755,,pure_numeric_comment
P004744,2-24-202-0708,325,758,,pure_numeric_comment
P004745,2-24-202-0709,325,759,,pure_numeric_comment
P004746,2-24-202-0710,325,760,,pure_numeric_comment
P004747,2-24-203-0711,325,761,,pure_numeric_comment
P004748,2-24-203-0712,325,762,,pure_numeric_comment
P004749,2-24-203-0713,325,763,,pure_numeric_comment
P004750,2-24-204-0714,325,7682,,pure_numeric_comment
P004752,2-24-204-0716,325,770,,pure_numeric_comment
P004753,2-24-204-0717,326,775,,pure_numeric_comment
P004754,2-24-205-0718,326,776,,pure_numeric_comment
P004755,2-24-205-0719,326,777,,pure_numeric_comment
P004756,2-24-205-0720,326,778,,pure_numeric_comment
P004758,2-24-205-0722,326,780,,pure_numeric_comment
P004759,2-24-206-0723,326,781,,pure_numeric_comment
P004760,2-24-206-0724,326,782,,pure_numeric_comment
P004761,2-24-206-0725,326,783,,pure_numeric_comment
P004762,2-24-206-0726,326,786,,pure_numeric_comment
P004763,2-24-206-0727,326,787,,pure_numeric_comment
P004764,2-24-207-0728,326,788,,pure_numeric_comment
P004765,2-24-207-0729,326,789,,pure_numeric_comment
P004767,2-24-207-0731,326,791,,pure_numeric_comment
P004768,2-24-208-0732,326,792,,pure_numeric_comment
P004769,2-24-208-0733,326,793,,pure_numeric_comment
P004770,2-24-209-0734,326,794,,pure_numeric_comment
P004771,2-24-209-0735,326,795,,pure_numeric_comment
P004772,2-24-209-0736,327,796,,pure_numeric_comment
P004773,2-24-209-0737,327,798,,pure_numeric_comment
P004774,2-24-210-0738,327,799,,pure_numeric_comment
P004775,2-24-211-0739,327,800,,pure_numeric_comment
P004776,2-24-211-0740,327,2,,pure_numeric_comment
P004777,2-24-211-0741,327,3,,pure_numeric_comment
P004778,2-24-211-0742,327,803,,pure_numeric_comment
P004779,2-24-211-0743,327,804,,pure_numeric_comment
P004780,2-24-212-0744,327,805,,pure_numeric_comment
P004781,2-24-212-0745,327,806,,pure_numeric_comment
P004782,2-24-212-0746,327,807,,pure_numeric_comment
P004783,2-24-213-0747,327,808,,pure_numeric_comment
P004784,2-24-213-0748,327,809,,pure_numeric_comment
P004785,2-24-213-0749,327,810,,pure_numeric_comment
P004786,2-24-214-0750,327,811,,pure_numeric_comment
P004787,2-24-214-0751,327,812,,pure_numeric_comment
P004790,2-24-214-0754,328,815,,pure_numeric_comment
P004792,2-24-215-0756,328,817,,pure_numeric_comment
P004793,2-24-215-0757,328,818,,pure_numeric_comment
P004794,2-24-215-0758,328,819,,pure_numeric_comment
P004795,2-24-215-0759,328,820,,pure_numeric_comment
P004796,2-24-216-0760,328,821,,pure_numeric_comment
P004797,2-24-216-0761,328,822,,pure_numeric_comment
P004800,2-24-216-0764,328,825,,pure_numeric_comment
P004801,2-24-217-0765,328,826,,pure_numeric_comment
P004802,2-24-217-0766,328,827,,pure_numeric_comment
P004803,2-24-218-0767,328,828,,pure_numeric_comment
P004804,2-24-219-0768,328,829,,pure_numeric_comment
P004805,2-24-219-0769,328,830,,pure_numeric_comment
P004806,2-24-220-0770,328,831,,pure_numeric_comment
P004808,2-24-221-0772,329,833,,pure_numeric_comment
P004809,2-24-221-0773,329,834,,pure_numeric_comment
P004810,2-24-221-0774,329,835,,pure_numeric_comment
P004811,2-24-221-0775,329,836,,pure_numeric_comment
P004813,2-24-222-0777,329,838,,pure_numeric_comment
P004814,2-24-222-0778,329,839,,pure_numeric_comment
P004815,2-24-222-0779,329,842,,pure_numeric_comment
P004816,2-24-223-0780,329,843,,pure_numeric_comment
P004817,2-24-223-0781,329,844,,pure_numeric_comment
P004821,2-24-223-0785,329,848,,pure_numeric_comment
P004822,2-24-224-0786,329,849,,pure_numeric_comment
P004823,2-24-224-0787,329,850,,pure_numeric_comment
P004825,2-24-224-0789,330,852,,pure_numeric_comment
P004826,2-24-225-0790,330,853,,pure_numeric_comment
P004827,2-24-225-0791,330,854,,pure_numeric_comment
P004828,2-24-225-0792,330,855,,pure_numeric_comment
P004829,2-24-226-0793,330,856,,pure_numeric_comment
P004830,2-24-226-0794,330,857,,pure_numeric_comment
P004832,2-24-226-0796,330,859,,pure_numeric_comment
P004833,2-24-227-0797,330,860,,pure_numeric_comment
P004834,2-24-227-0798,330,861,,pure_numeric_comment
P004835,2-24-227-0799,330,862,,pure_numeric_comment
P004836,2-24-228-0800,330,863,,pure_numeric_comment
P004837,2-24-228-0801,330,864,,pure_numeric_comment
P004839,2-24-228-0803,330,866,,pure_numeric_comment
P004840,2-24-228-0804,330,867,,pure_numeric_comment
P004841,2-24-229-0805,330,868,,pure_numeric_comment
P004842,2-24-229-0806,330,869,,pure_numeric_comment
P004843,2-24-229-0807,331,870,,pure_numeric_comment
P004844,2-24-229-0808,331,871,,pure_numeric_comment
P004845,2-24-230-0809,331,872,,pure_numeric_comment
P004846,2-24-230-0810,331,873,,pure_numeric_comment
P004847,2-24-230-0811,331,874,,pure_numeric_comment
P004848,2-24-230-0812,331,876,,pure_numeric_comment
P004849,2-24-230-0813,331,875,,pure_numeric_comment
P004850,2-24-230-0814,331,877,,pure_numeric_comment
P004851,2-24-230-0815,331,878,,pure_numeric_comment
P004852,2-24-230-0816,331,879,,pure_numeric_comment
P004853,2-24-230-0817,331,880,,pure_numeric_comment
P004854,2-24-231-0818,331,881,,pure_numeric_comment
P004855,2-24-231-0819,331,882,,pure_numeric_comment
P004856,2-24-231-0820,331,883,,pure_numeric_comment
P004857,2-24-232-0821,331,884,,pure_numeric_comment
P004860,2-24-233-0824,331,887,,pure_numeric_comment
P004861,2-24-233-0825,332,888,,pure_numeric_comment
P004862,2-24-233-0826,332,889,,pure_numeric_comment
P004863,2-24-234-0827,332,890,,pure_numeric_comment
P004864,2-24-234-0828,332,891,,pure_numeric_comment
P004865,2-24-234-0829,332,892,,pure_numeric_comment
P004866,2-24-234-0830,332,893,,pure_numeric_comment
P004868,2-24-234-0832,332,895,,pure_numeric_comment
P004869,2-24-235-0833,332,896,,pure_numeric_comment
P004870,2-24-235-0834,332,897,,pure_numeric_comment
P004871,2-24-236-0835,332,898,,pure_numeric_comment
P004872,2-24-236-0836,332,899,,pure_numeric_comment
P004873,2-24-236-0837,332,1,,pure_numeric_comment
P004874,2-24-236-0838,332,901,,pure_numeric_comment
P004875,2-24-236-0839,332,2,,pure_numeric_comment
P004876,2-24-237-0840,332,903,,pure_numeric_comment
P004877,2-24-237-0841,332,3,,pure_numeric_comment
P004878,2-24-237-0842,333,905,,pure_numeric_comment
P004879,2-24-237-0843,333,906,,pure_numeric_comment
