family_status,record_count,family_status_norm_proposed,review_status,proposal_basis,owner_decision,owner_family_status_norm,reviewer_notes
Дочь сожительницы,5,Дочь,owner_approved,Explicit Дочь wording.,approve,Дочь,
Незаконнорожденная дочь совладельца,5,Незаконнорожденная дочь,owner_approved,Explicit незаконнорожденная дочь wording.,approve,Незаконнорожденная дочь,
Мать,4,Мать,owner_approved,Explicit Мать wording.,approve,Мать,
Муж. хозяин,4,Муж,owner_approved,Explicit Муж wording.,approve,Хозяин,
Незаконнорожденный сын жильца,4,Незаконнорожденный сын,owner_approved,Explicit незаконнорожденный сын wording.,approve,Незаконнорожденный сын,
Работница,4,Работница,owner_approved,Explicit Работница wording.,approve,Работница,
Сын хозяина,4,Сын,owner_approved,Explicit Сын wording.,approve,Сын,
Хозяйка. жена,4,Жена,owner_approved,Compound source wording explicitly includes Жена.,approve,Жена,
Дочь жилицы,3,Дочь,owner_approved,Explicit Дочь wording.,approve,Дочь,
Мать сожительницы,3,Мать,owner_approved,Explicit Мать wording.,approve,Мать,
Невестка,3,Невестка,owner_approved,Explicit Невестка wording.,approve,Невестка,
Незаконнорожденная дочь жены,3,Незаконнорожденная дочь,owner_approved,Explicit незаконнорожденная дочь wording.,approve,Незаконнорожденная дочь,
Незаконнорожденная дочь жилицы,3,Незаконнорожденная дочь,owner_approved,Explicit незаконнорожденная дочь wording.,approve,Незаконнорожденная дочь,
Незаконнорожденный сын совладельца,3,Незаконнорожденный сын,owner_approved,Explicit незаконнорожденный сын wording.,approve,Незаконнорожденный сын,
Сын жилицы,3,Сын,owner_approved,Explicit Сын wording.,approve,Сын,
Сын крестьянина,3,Сын,owner_approved,Explicit Сын wording.,approve,Сын,
1-я жена,2,Жена,owner_approved,Explicit Жена wording.,approve,Жена,
2-я жена,2,Жена,owner_approved,Explicit Жена wording.,approve,Жена,
Брат сожительницы,2,Брат,owner_approved,Explicit Брат wording.,approve,Брат,
Жена работника,2,Жена,owner_approved,Explicit Жена wording.,approve,Жена,
Жена сына,2,Жена,owner_approved,Explicit Жена wording.,approve,Жена,
Зять,2,Зять,owner_approved,Explicit Зять wording.,approve,Зять,
Незаконнорожденная дочь хозяина,2,Незаконнорожденная дочь,owner_approved,Explicit незаконнорожденная дочь wording.,approve,Незаконнорожденная дочь,
Незаконнорожденный сын жены,2,Незаконнорожденный сын,owner_approved,Explicit незаконнорожденный сын wording.,approve,Незаконнорожденный сын,
Незаконнорожденный сын совладелицы,2,Незаконнорожденный сын,owner_approved,Explicit незаконнорожденный сын wording.,approve,Незаконнорожденный сын,
Отец,2,Отец,owner_approved,Explicit Отец wording.,approve,Отец,
Падчерица,2,Падчерица,owner_approved,Explicit Падчерица wording.,approve,Падчерица,
Пасынок,2,Пасынок,owner_approved,Explicit Пасынок wording.,approve,Пасынок,
Пасынок жильца,2,Пасынок,owner_approved,Explicit Пасынок wording.,approve,Пасынок,
Приемная дочь жильца,2,Приемная дочь,owner_approved,Explicit Приемная дочь wording.,approve,Приемная дочь,
Сестра,2,Сестра,owner_approved,Explicit Сестра wording.,approve,Сестра,
Сожитель хозяйки,2,Сожитель,owner_approved,Explicit Сожитель wording.,approve,Сожитель,
Сожительница Петрова,2,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница надзирателя,2,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
жилец,2,Жилец,owner_approved,Explicit Жилец wording.,approve,Жилец,
незаконнорожденная дочь,2,Незаконнорожденная дочь,owner_approved,Explicit незаконнорожденная дочь wording.,approve,Незаконнорожденная дочь,
незаконнорожденный сын сожительницы Дубеля,2,Незаконнорожденный сын,owner_approved,Explicit незаконнорожденный сын wording.,approve,Незаконнорожденный сын,
Брат совладельца,1,Брат,owner_approved,Explicit Брат wording.,approve,Брат,
Брат сожителя,1,Брат,owner_approved,Explicit Брат wording.,approve,Брат,
В работниках,1,Работник,owner_approved,Explicit Работник wording.,approve,Работник,
Внук,1,Внук,owner_approved,Explicit Внук wording.,approve,Внук,
Двоюродный брат,1,Двоюродный брат,owner_approved,Explicit Двоюродный брат wording.,approve,Брат,
Дочь Стрельцова,1,Дочь,owner_approved,Explicit Дочь wording.,approve,Дочь,
Дочь работника,1,Дочь,owner_approved,Explicit Дочь wording.,approve,Дочь,
Дочь сына. Внучка,1,Внучка,owner_approved,Compound source wording explicitly includes Внучка.,approve,Внучка,
Дочь хозяина,1,Дочь,owner_approved,Explicit Дочь wording.,approve,Дочь,
Жена Ефима,1,Жена,owner_approved,Explicit Жена wording.,approve,Жена,
