person_id,source_position_id,page_number,district,settlement,allowance_status,arrival_year,age,legal_status_norm,family_status_norm,marriage_status_norm,occupation_norm,comments,notes_raw
P000958,1-02-197-0863,85,Александровский,Пост Александровский,TRUE,,5,Сын поселенца,Сын,,,,РГБ № 4012
P000959,1-02-197-0864,86,Александровский,Пост Александровский,TRUE,,3,Сын поселенца,Сын,,,,РГБ № 4527
P001005,1-02-204-0910,88,Александровский,Пост Александровский,TRUE,,5,Сын поселенца,Незаконнорожденный сын,,,148,РГБ № 5418
P001026,1-02-209-0931,90,Александровский,Пост Александровский,TRUE,,2,Сын ссыльнокаторжной,Незаконнорожденный сын,,,146,РГБ № 5673
P001049,1-02-213-0954,91,Александровский,Пост Александровский,TRUE,,2,Свободного состояния,Дочь,,,,РГБ № 5702
P001061,1-02-217-0966,91,Александровский,Пост Александровский,TRUE,,3,Дочь каторжного,Дочь,,,,РГБ № 5206
P001091,1-02-224-0996,93,Александровский,Пост Александровский,TRUE,,4,Дочь каторжной,Незаконнорожденная дочь,,,143,РГБ № 5384
P001092,1-02-224-0997,93,Александровский,Пост Александровский,TRUE,,3,Сын каторжной,Незаконнорожденный сын,,,144,РГБ № 4514
P001093,1-02-224-0998,93,Александровский,Пост Александровский,TRUE,,2,Сын каторжной,Незаконнорожденный сын,,,5,РГБ № 5674
P001099,1-02-225-1004,94,Александровский,Пост Александровский,TRUE,,3,Сын поселенца,Сын,,,,РГБ № 4526
P001100,1-02-225-1005,94,Александровский,Пост Александровский,TRUE,,1,Сын поселенца,Сын,,,,РГБ № 4894
P001103,1-02-225-1008,94,Александровский,Пост Александровский,TRUE,,2,Дочь каторжного,Дочь,,,,РГБ № 4609
P001111,1-02-226-1016,94,Александровский,Пост Александровский,TRUE,,4,Сын каторжного,Сын,,,,РГБ № 5303
P001117,1-02-227-1022,95,Александровский,Пост Александровский,TRUE,,33,Ссыльнокаторжный,Хозяин,Холост,Кузнец,,РГБ № 774
P001129,1-02-229-1034,96,Александровский,Пост Александровский,TRUE,,2,Сын каторжной,Незаконнорожденный сын,,,141,РГБ № 5675
P001146,1-02-231-1051,97,Александровский,Пост Александровский,TRUE,,5,Дочь каторжной,Незаконнорожденная дочь,,,140,РГБ № 3998
P001149,1-02-232-1054,97,Александровский,Пост Александровский,TRUE,,0,Дочь поселки,Дочь,,,,РГБ № 4670
P001162,1-02-234-1067,98,Александровский,Пост Александровский,TRUE,,1,Сын поселенца,Сын,,,,РГБ № 4892
P001168,1-02-236-1073,98,Александровский,Пост Александровский,TRUE,,8,Сын каторжного,Сын,,,,РГБ № 4924
P001169,1-02-236-1074,98,Александровский,Пост Александровский,TRUE,,4,Сын каторжного,Сын,,,,РГБ № 5305
P001184,1-02-239-1089,99,Александровский,Пост Александровский,TRUE,,55,Ссыльнокаторжный,Жилец,,,,РГБ № 828
P001190,1-02-240-1095,99,Александровский,Пост Александровский,TRUE,,5,Сын каторжной,Незаконнорожденный сын,,,139,РГБ № 4013
P001195,1-02-241-1100,100,Александровский,Пост Александровский,TRUE,,3,Дочь каторжной,Незаконнорожденная дочь,,,Коробкин. 138,РГБ № 5242
P001207,1-02-244-1112,100,Александровский,Пост Александровский,TRUE,,1,Сын поселки,Незаконнорожденный сын,,,137,РГБ № 4868
P001209,1-02-244-1114,100,Александровский,Пост Александровский,TRUE,,38,Ссыльнокаторжная,Сожительница,Вдов,Чернорабочая,,РГБ № 850
P001219,1-02-246-1124,101,Александровский,Пост Александровский,TRUE,,3,Дочь каторжного,Дочь,,,,РГБ № 5111
P001239,1-02-254-1144,102,Александровский,Пост Александровский,TRUE,,3,Дочь каторжного,Дочь,,,,РГБ № 5120
P001279,1-02-266-1184,105,Александровский,Пост Александровский,TRUE,,2,Сын каторжной,Незаконнорожденный сын,,,136,РГБ № 5672
P001289,1-02-270-1194,105,Александровский,Пост Александровский,TRUE,,43,Ссыльнокаторжный,Хозяин,Женат на родине,,,РГБ № 921
