person_id,source_position_id,page_number,district,settlement,allowance_status,arrival_year,age,legal_status_norm,family_status_norm,marriage_status_norm,occupation_norm,comments,notes_raw,review_decision,review_note
P004965,2-24-258-0929,337,Тымовский,Рыковское,TRUE,1879,50,Ссыльнокаторжная,Сожительница,Вдов,,994,РГБ № 1663,,
P005115,2-24-303-1079,346,Тымовский,Рыковское,TRUE,1867,62,Поселенец,Совладелец,Холост,,1170,РГБ № 1837,,
P005116,2-24-304-1080,346,Тымовский,Рыковское,TRUE,1876,51,Ссыльнокаторжный,Хозяин,Женат на Сахалине,,1171,РГБ № 1838,,
P005152,2-24-315-1116,348,Тымовский,Рыковское,TRUE,1879,65,Поселенец,Хозяин,Женат на родине,,1212,РГБ № 1802,,
P005154,2-24-315-1118,348,Тымовский,Рыковское,TRUE,1879,42,Поселенец,Совладелец,Женат на родине,,1214,РГБ № 1800,,
P005160,2-24-318-1124,348,Тымовский,Рыковское,TRUE,1879,60,Ссыльнокаторжный,Хозяин,Женат на родине,,1220,РГБ № 1795,,
P005187,2-24-326-1151,350,Тымовский,Рыковское,TRUE,1875,70,Поселенец,Совладелец,Женат на родине,,1249,РГБ № 1814,,
P005248,2-24-339-1212,353,Тымовский,Рыковское,TRUE,1872,48,Ссыльнокаторжный,Хозяин,Женат на родине,,1316,РГБ № 1885,,
P005269,2-24-346-1233,355,Тымовский,Рыковское,TRUE,1870,70,Поселенец,Совладелец,Вдов,,1340,РГБ № 1902,,
P005334,2-25-016-0032,358,Тымовский,Палево,TRUE,1879,44,Поселенец,Совладелец,Холост,,,РГБ № 5134,,
P005342,2-25-021-0040,359,Тымовский,Палево,TRUE,1879,34,Поселенец,Совладелец,Женат на родине,,,РГБ № 4690,,
P005382,2-25-044-0080,361,Тымовский,Палево,TRUE,1879,40,Ссыльнокаторжный,Хозяин,Женат на родине,,,РГБ № 5192,,
P005454,2-25-103-0152,365,Тымовский,Палево,TRUE,1878,50,Ссыльнокаторжная,Жена,Женат на Сахалине,,,РГБ № 4104,,
P005499,2-25-132-0197,367,Тымовский,Палево,TRUE,1878,43,Поселенец,Совладелец,Женат на родине,,,РГБ № 4158,,
P005514,2-25-142-0212,368,Тымовский,Палево,TRUE,1879,53,Поселенец,Хозяин,Женат на родине,,,РГБ № 4174,,
P005561,2-25-166-0259,370,Тымовский,Палево,TRUE,1876,54,Поселенец,Хозяин,Холост,,,РГБ № 5107,,
P005714,2-26-038-0129,380,Тымовский,Мало-Тымово,TRUE,1874,45,Ссыльнокаторжный,Хозяин,Женат на родине,,2,РГБ № 4656,,
P005762,2-26-000-0177,383,Тымовский,Мало-Тымово,TRUE,1879,48,Поселенец,Хозяин,Женат на родине,,1,РГБ № 4563,,
P006119,2-27-000-0357,403,Тымовский,Андрее-Ивановское,TRUE,1876,36,Отставной унтер-офицер,Хозяин,Холост,Старший надзиратель,,РГБ № 3415,,
P006203,3-29-018-0039,417,Корсаковский,Пост Корсаковский,TRUE,1879,34,Поселенец,Хозяин,Холост,Фельдегерь,,РГБ № 6940,,
P006215,3-29-022-0051,417,Корсаковский,Пост Корсаковский,TRUE,1879,37,Поселенец,Хозяин,Женат на родине,Писарь,,РГБ № 6950,,
P006320,3-30-005-0008,424,Корсаковский,Поро-ан-Томари,TRUE,1870,63,Поселенец,Хозяин,Женат на родине,,,РГБ № 5799,,
P006345,3-30-024-0033,425,Корсаковский,Поро-ан-Томари,TRUE,1870,66,Поселенец,Хозяин,Женат на родине,,,РГБ № 5822,,
P006379,3-30-047-0067,427,Корсаковский,Поро-ан-Томари,TRUE,1870,75,Поселенец,Хозяин,Холост,,,РГБ № 5849,,
