legal_status,record_count,legal_status_norm_proposed,illness_addition_proposed,removed_detail,review_tier,owner_decision,owner_legal_status_norm,owner_illness_addition,reviewer_notes
Незаконнорожденная дочь поселки,1,Незаконнорожденная дочь поселки,,,straightforward,correct,Дочь поселки,,
Повивальная бабка,1,Повивальная бабка,,,straightforward,approve,Повивальная бабка,,
Подполковник,1,Подполковник,,,straightforward,approve,Подполковник,,
Подпоручик,1,Подпоручик,,,straightforward,approve,Подпоручик,,
Поселенец временно уволенный,1,Поселенец,,временно уволенный,straightforward,approve,Поселенец,,
Поселка (богадельщик),1,Поселка,Богаделец,,straightforward,correct,Поселенец,Богаделец,typo in source
Почетный гражданин административный ссыльный,1,Административный ссыльный,,Почетный гражданин,owner_review,approve,Административный ссыльный,,
Рядовой Дуйской команды,1,Рядовой,,Дуйской команды,straightforward,approve,Рядовой,,
Рядовой запаса,1,Запасной рядовой,,,straightforward,approve,Запасной рядовой,,
Свободного состояния Тымовского округа,1,Свободного состояния,,Тымовского округа,straightforward,approve,Свободного состояния,,
Свободного состояния жена поселенца,1,Свободного состояния,,,straightforward,approve,Свободного состояния,,
Свободного состояния мещанин,1,Свободного состояния,,,straightforward,approve,Свободного состояния,,
Свободного состояния солдатка,1,Свободного состояния,,,straightforward,approve,Свободного состояния,,
Совладелец,1,Совладелец,,,straightforward,approve,Совладелец,,
Старший надзиратель,1,Старший надзиратель,,,straightforward,approve,Старший надзиратель,,
Сын подполковника,1,Сын подполковника,,,straightforward,approve,Сын подполковника,,
Сын поселки Тымовского округа,1,Сын поселки,,Тымовского округа,straightforward,approve,Сын поселки,,
Сын рядового,1,Сын рядового,,,straightforward,approve,Сын рядового,,
Сын солдатки,1,Сын солдатки,,,straightforward,approve,Сын солдатки,,
Уволенный в запас Армии Рядовой,1,Запасной рядовой,,,straightforward,approve,Запасной рядовой,,
Фельдшер,1,Фельдшер,,,straightforward,approve,Фельдшер,,
