person_id,changed_field_count,changed_fields
P000515,2,marriage_status_norm; origin_place_norm
P000516,3,marriage_status_norm; occupation_norm; origin_place_norm
P000517,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000518,3,marriage_status_norm; occupation_norm; origin_place_norm
P000519,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000520,2,marriage_status_norm; origin_place_norm
P000521,2,comments; origin_place_norm
P000522,3,age_months; comments; origin_place_norm
P000523,3,age_months; comments; origin_place_norm
P000524,3,marriage_status_norm; occupation_norm; origin_place_norm
P000525,2,marriage_status_norm; origin_place_norm
P000526,3,marriage_status_norm; occupation_norm; origin_place_norm
P000527,3,marriage_status_norm; occupation_norm; origin_place_norm
P000528,2,marriage_status_norm; origin_place_norm
P000529,3,marriage_status_norm; occupation_norm; origin_place_norm
P000530,2,marriage_status_norm; origin_place_norm
P000531,1,origin_place_norm
P000532,2,age_months; origin_place_norm
P000533,2,marriage_status_norm; origin_place_norm
P000534,2,marriage_status_norm; origin_place_norm
P000535,3,marriage_status_norm; occupation_norm; origin_place_norm
P000536,3,marriage_status_norm; occupation_norm; origin_place_norm
P000537,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000538,3,marriage_status_norm; occupation_norm; origin_place_norm
P000539,2,marriage_status_norm; origin_place_norm
P000540,2,marriage_status_norm; origin_place_norm
P000541,2,marriage_status_norm; origin_place_norm
P000542,3,marriage_status_norm; occupation_norm; origin_place_norm
P000543,3,marriage_status_norm; occupation_norm; origin_place_norm
P000544,2,marriage_status_norm; origin_place_norm
P000545,3,marriage_status_norm; occupation_norm; origin_place_norm
P000546,2,marriage_status_norm; origin_place_norm
P000547,3,age_months; comments; origin_place_norm
